Rk,Player,Pos,Age,Tm,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS
353,Monte Morris,PG,24,DEN,73,12,22.4,1.9,3.5,0.8,0.2,0.7,9
354,Johnathan Motley,PF,24,LAC,13,0,3.2,0.8,0.6,0.2,0,0.4,2.2
355,Emmanuel Mudiay,PG,23,UTA,54,2,15.7,2.3,2.1,0.4,0.2,1.4,7.3
356,Mychal Mulder,SF,25,GSW,7,3,29.1,3.3,1.1,0.3,0.1,0.7,11
357,Dejounte Murray,PG,23,SAS,66,58,25.6,5.8,4.1,1.7,0.3,1.9,10.9
358,Jamal Murray,PG,22,DEN,59,59,32.3,4,4.8,1.1,0.3,2.2,18.5
359,Džanan Musa,SF,20,BRK,40,0,12.2,2.2,1.1,0.4,0,0.9,4.8
360,Mike Muscala,C,28,OKC,47,2,12.2,2.3,0.9,0.2,0.3,0.4,4.8
361,Sviatoslav Mykhailiuk,SF,22,DET,56,27,22.6,1.9,1.9,0.7,0.1,1.1,9
362,Abdel Nader,SF,26,OKC,55,6,15.8,1.8,0.7,0.4,0.4,0.8,6.3
363,Larry Nance Jr.,PF,27,CLE,56,10,26.3,7.3,2.2,1,0.4,1.1,10.1
364,Shabazz Napier,PG,28,TOT,56,32,24,2.8,4.7,1.2,0.2,2.3,10.3
364,Shabazz Napier,PG,28,MIN,36,22,23.8,3.1,5.2,1.1,0.2,2.1,9.6
364,Shabazz Napier,PG,28,WAS,20,10,24.4,2.4,3.8,1.5,0.2,2.6,11.6
365,Raul Neto,PG,27,PHI,54,3,12.4,1.1,1.8,0.4,0.1,0.9,5.1
366,Malik Newman,SG,22,CLE,1,0,4,0,0,0,0,1,2
367,Georges Niang,PF,26,UTA,66,1,14,1.9,0.7,0.3,0.1,0.5,5.9
368,Joakim Noah,C,34,LAC,5,0,10,3.2,1.4,0.2,0.2,1.2,2.8
369,Nerlens Noel,C,25,OKC,61,7,18.5,4.9,0.9,1,1.5,1.1,7.4
370,Zach Norvell,SG,22,TOT,5,0,8.2,1.2,0.6,0.4,0,0.6,2
370,Zach Norvell,SG,22,LAL,2,0,2.5,0.5,0,0,0,0,0
370,Zach Norvell,SG,22,GSW,3,0,12,1.7,1,0.7,0,1,3.3
371,Jaylen Nowell,SG,20,MIN,15,0,10.1,0.9,1.3,0.2,0.1,0.2,3.8
372,Frank Ntilikina,PG,21,NYK,57,26,20.8,2.1,3,0.9,0.3,1.2,6.3
373,Kendrick Nunn,PG,24,MIA,67,67,29.3,2.7,3.3,0.8,0.2,1.7,15.3
374,Jusuf Nurkić,C,25,POR,8,8,31.6,10.3,4,1.4,2,2.4,17.6
375,David Nwaba,SG,27,BRK,20,0,13.4,2.3,0.4,0.6,0.6,0.4,5.2
376,Royce O'Neale,SF,26,UTA,71,62,28.9,5.5,2.5,0.8,0.5,0.9,6.3
377,Kyle O'Quinn,C,29,PHI,29,2,10.8,4,1.8,0.2,0.8,0.7,3.5
378,Semi Ojeleye,PF,25,BOS,69,6,14.7,2.1,0.5,0.3,0.1,0.3,3.4
379,Jahlil Okafor,C,24,NOP,30,9,15.6,4.2,1.2,0.2,0.7,1.3,8.1
380,Elie Okobo,PG,22,PHO,55,3,13.1,1.6,2.1,0.4,0.1,0.7,4
381,Josh Okogie,SG,21,MIN,62,28,25,4.3,1.6,1.1,0.4,1.4,8.6
382,KZ Okpala,PF,20,MIA,5,0,5.2,1,0.2,0.4,0.2,0.2,1.4
383,Victor Oladipo,SG,27,IND,19,16,27.8,3.9,2.9,0.9,0.2,2.5,14.5
384,Kelly Olynyk,C,28,MIA,67,9,19.4,4.6,1.7,0.7,0.3,1.1,8.2
385,Miye Oni,SF,22,UTA,10,1,10.9,1.7,0.4,0.4,0.2,0.4,3.5
386,Cedi Osman,SF,24,CLE,65,65,29.4,3.6,2.4,0.8,0.2,1.4,11
387,Kelly Oubre Jr.,SF,24,PHO,56,55,34.5,6.4,1.5,1.3,0.7,1.5,18.7
388,Tariq Owens,PF,24,PHO,3,0,5,1,0,0.3,0,0,1.3
389,Jeremy Pargo,PG,33,GSW,3,0,14.7,1,2.7,0.3,0,1.3,8.3
390,Jabari Parker,PF,24,TOT,38,23,24.1,5.6,1.8,1.2,0.4,1.7,14
390,Jabari Parker,PF,24,ATL,32,23,26.2,6,1.8,1.3,0.5,1.9,15
390,Jabari Parker,PF,24,SAC,6,0,13.3,3.8,1.7,0.5,0.2,0.7,8.5
391,Chandler Parsons,PF,31,ATL,5,0,10.8,1.4,0.6,0.8,0.2,0.6,2.8
392,Eric Paschall,PF,23,GSW,60,26,27.6,4.6,2.1,0.5,0.2,1.6,14
393,Anžejs Pasečņiks,C,24,WAS,27,0,16.2,4,0.7,0.3,0.4,0.9,5.8
394,Patrick Patterson,PF,30,LAC,59,18,13.2,2.6,0.7,0.1,0.1,0.4,4.9
395,Justin Patton,C,22,OKC,5,0,4.8,1,0.4,0,0,0.4,1.8
396,Chris Paul,PG,34,OKC,70,70,31.5,5,6.7,1.6,0.2,2.3,17.6
397,Cameron Payne,SG,25,PHO,8,0,22.9,3.9,3,1,0.3,1.4,10.9
398,Elfrid Payton,PG,25,NYK,45,36,27.7,4.7,7.2,1.6,0.4,2.1,10
399,Gary Payton II,SF,27,WAS,29,17,14.9,2.8,1.7,1.1,0.2,0.7,3.9
400,Norvel Pelle,C,26,PHI,24,0,9.7,3,0.3,0.1,1.3,0.8,2.4
401,Theo Pinson,SG,24,BRK,33,0,11.1,1.6,1.7,0.5,0.1,1,3.6
402,Mason Plumlee,C,29,DEN,61,1,17.3,5.2,2.5,0.5,0.6,1.3,7.2
403,Jakob Poeltl,C,24,SAS,66,18,17.7,5.7,1.8,0.6,1.4,0.8,5.6
404,Vincent Poirier,C,26,BOS,22,0,5.9,2,0.4,0.1,0.4,0.4,1.9
405,Shamorie Ponds,PG,21,TOR,4,0,2.8,0.3,0.5,0,0.3,0,2.3
406,Jordan Poole,SG,20,GSW,57,14,22.4,2.1,2.4,0.6,0.2,1.3,8.8
